hidden_layers,hidden_units,accuracy,average_loss,loss,activation_fn
"1","[10]","0.987510621547699","0.07701391726732254","77.64574432373047","leaky_relu"
"2","[10, 10]","0.9904659986495972","0.07815813273191452","78.79934692382812","leaky_relu"
"5","[10, 10, 10, 10, 10]","0.9814987182617188","0.12511378526687622","126.1402359008789","leaky_relu"
"10","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.9796769618988037","0.14783619344234467","149.04905700683594","leaky_relu"
"20","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.9799603223800659","0.12978355586528778","130.8483123779297","leaky_relu"
"30","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.9843528866767883","0.15968070924282074","160.99073791503906","leaky_relu"
"1","[20]","0.9133840799331665","0.2792081832885742","281.4988098144531","leaky_relu"
"2","[20, 20]","0.9910934567451477","0.08009003847837448","80.74710083007812","leaky_relu"
"5","[20, 20, 20, 20, 20]","0.9918221831321716","0.06064949557185173","61.14706802368164","leaky_relu"
"10","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.9905266761779785","0.08763380348682404","88.3527603149414","leaky_relu"
"20","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.986559271812439","0.12717927992343903","128.22267150878906","leaky_relu"
"30","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.980972409248352","0.12146192044019699","122.45840454101562","leaky_relu"
"1","[50]","0.9273915886878967","0.21079133450984955","212.52069091796875","leaky_relu"
"2","[50, 50]","0.9898789525032043","0.10329582542181015","104.14327239990234","leaky_relu"
"5","[50, 50, 50, 50, 50]","0.991356611251831","0.06622634083032608","66.76966857910156","leaky_relu"
"10","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.991133987903595","0.048015519976615906","48.40944290161133","leaky_relu"
"20","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.9759726524353027","0.14263960719108582","143.80984497070312","leaky_relu"
"30","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.9857495427131653","0.08843186497688293","89.15736389160156","leaky_relu"
"1","[100]","0.6655803322792053","1.0929962396621704","1101.9632568359375","leaky_relu"
"2","[100, 100]","0.992085337638855","0.06980332732200623","70.3759994506836","leaky_relu"
"5","[100, 100, 100, 100, 100]","0.899255096912384","0.16709277033805847","168.46360778808594","leaky_relu"
"10","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.8968260288238525","0.7918577790260315","798.354248046875","leaky_relu"
"20","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.5557669997215271","2628.5478515625","2650112.75","leaky_relu"
"30","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.6845674514770508","1.7890760898590088","1803.7537841796875","leaky_relu"
"5","[20, 40, 60, 80, 100]","0.9774705767631531","0.10855574905872345","109.44635009765625","leaky_relu"
"5","[100, 80, 60, 40, 20]","0.9889882802963257","0.07084646075963974","71.42769622802734","leaky_relu"
"10","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","0.9868021607398987","0.07801900804042816","78.6590805053711","leaky_relu"
"10","[100, 90, 80, 70, 60, 50, 40, 30, 20, 10]","0.9848589301109314","0.1323210746049881","133.40664672851562","leaky_relu"
"20","[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","0.98496013879776","0.08792274445295334","88.64407348632812","leaky_relu"
"20","[100, 95, 90, 85, 80, 75, 70, 65, 60, 55, 50, 45, 40, 35, 30, 25, 20, 15, 10, 5]","0.9854661822319031","0.1470750868320465","148.2816925048828","leaky_relu"
"34","[1, 4, 7, 10, 13, 16, 19, 22, 25, 28, 31, 34, 37, 40, 43, 46, 49, 52, 55, 58, 61, 64, 67, 70, 73, 76, 79, 82, 85, 88, 91, 94, 97, 100]","0.5593093633651733","1.0344356298446655","1042.9222412109375","leaky_relu"
"34","[100, 97, 94, 91, 88, 85, 82, 79, 76, 73, 70, 67, 64, 61, 58, 55, 52, 49, 46, 43, 40, 37, 34, 31, 28, 25, 22, 19, 16, 13, 10, 7, 4, 1]","0.8577992916107178","0.6230909824371338","628.202880859375","leaky_relu"
"1","[10]","0.985041081905365","0.09980911016464233","100.6279525756836","relu"
"2","[10, 10]","0.9887251257896423","0.11535882204771042","116.30523681640625","relu"
"5","[10, 10, 10, 10, 10]","0.9860531687736511","0.11081766337156296","111.72682189941406","relu"
"10","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.9868831038475037","0.07017964869737625","70.75540924072266","relu"
"20","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.9863568544387817","0.1045062318444252","105.36360931396484","relu"
"30","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.17851504683494568","1.5669965744018555","1579.8524169921875","relu"
"1","[20]","0.9879761934280396","0.0982876569032669","99.0940170288086","relu"
"2","[20, 20]","0.9914780855178833","0.06353539973497391","64.05664825439453","relu"
"5","[20, 20, 20, 20, 20]","0.9855066537857056","0.06545890122652054","65.99592590332031","relu"
"10","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.9648597240447998","0.12157206982374191","122.5694580078125","relu"
"20","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.9820250272750854","0.11824968457221985","119.21981811523438","relu"
"30","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.320142149925232","1330.97265625","relu"
"1","[50]","0.8391563296318054","0.39091724157333374","394.1243591308594","relu"
"2","[50, 50]","0.9919638633728027","0.07120981067419052","71.79402160644531","relu"
"5","[50, 50, 50, 50, 50]","0.9919638633728027","0.0598311722278595","60.3220329284668","relu"
"10","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.9770859479904175","0.07652949541807175","77.1573486328125","relu"
"20","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.9689891338348389","0.1869640350341797","188.49790954589844","relu"
"30","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.9789077639579773","0.11589761823415756","116.84844970703125","relu"
"1","[100]","0.8310797214508057","0.49940982460975647","503.50701904296875","relu"
"2","[100, 100]","0.9914780855178833","0.05844024568796158","58.91969299316406","relu"
"5","[100, 100, 100, 100, 100]","0.960487425327301","0.12965936958789825","130.7230987548828","relu"
"10","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.9913768768310547","0.05487843602895737","55.32866287231445","relu"
"20","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.9854257106781006","0.07957722246646881","80.2300796508789","relu"
"30","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.6161837577819824","1629.443115234375","relu"
"5","[20, 40, 60, 80, 100]","0.967450737953186","0.11078593879938126","111.69483184814453","relu"
"5","[100, 80, 60, 40, 20]","0.9703251123428345","0.1062091588973999","107.08050537109375","relu"
"10","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","0.9730172753334045","0.10241937637329102","103.25963592529297","relu"
"10","[100, 90, 80, 70, 60, 50, 40, 30, 20, 10]","0.9690296053886414","0.10455995798110962","105.41777801513672","relu"
"20","[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","0.9684223532676697","0.16641776263713837","167.78306579589844","relu"
"20","[100, 95, 90, 85, 80, 75, 70, 65, 60, 55, 50, 45, 40, 35, 30, 25, 20, 15, 10, 5]","0.9866199493408203","0.07832113653421402","78.96368408203125","relu"
"34","[1, 4, 7, 10, 13, 16, 19, 22, 25, 28, 31, 34, 37, 40, 43, 46, 49, 52, 55, 58, 61, 64, 67, 70, 73, 76, 79, 82, 85, 88, 91, 94, 97, 100]","0.17851504683494568","1.618904948234558","1632.1865234375","relu"
"34","[100, 97, 94, 91, 88, 85, 82, 79, 76, 73, 70, 67, 64, 61, 58, 55, 52, 49, 46, 43, 40, 37, 34, 31, 28, 25, 22, 19, 16, 13, 10, 7, 4, 1]","0.17851504683494568","1.5734636783599854","1586.3724365234375","relu"
"1","[10]","0.9805473685264587","0.13508011400699615","136.18832397460938","sigmoid"
"2","[10, 10]","0.9845350384712219","0.12103324383497238","122.02620697021484","sigmoid"
"5","[10, 10, 10, 10, 10]","0.9727339148521423","0.17771662771701813","179.17462158203125","sigmoid"
"10","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.6064936518669128","0.9115638136863708","919.0423583984375","sigmoid"
"20","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.17851504683494568","1.613409399986267","1626.6458740234375","sigmoid"
"30","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.17851504683494568","1.6112595796585083","1624.478515625","sigmoid"
"1","[20]","0.9719444513320923","0.12299957126379013","124.0086669921875","sigmoid"
"1","[20]","0.9876523017883301","0.08042946457862854","81.08931732177734","sigmoid"
"2","[20, 20]","0.9823286533355713","0.0955212265253067","96.30488586425781","sigmoid"
"5","[20, 20, 20, 20, 20]","0.9733006954193115","0.1337495595216751","134.8468475341797","sigmoid"
"10","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.606109082698822","0.9618721008300781","969.7633666992188","sigmoid"
"20","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.6411378383636475","1654.6019287109375","sigmoid"
"30","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.6516512632369995","1665.2015380859375","sigmoid"
"1","[50]","0.991640031337738","0.07094171643257141","71.52373504638672","sigmoid"
"2","[50, 50]","0.9918019771575928","0.08653987944126129","87.24986267089844","sigmoid"
"5","[50, 50, 50, 50, 50]","0.9802032113075256","0.10717961192131042","108.05892181396484","sigmoid"
"10","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.6463263034820557","1659.8328857421875","sigmoid"
"20","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.6448488235473633","1658.34326171875","sigmoid"
"30","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.6375573873519897","1650.9920654296875","sigmoid"
"1","[100]","0.9909922480583191","0.059422899037599564","59.9104118347168","sigmoid"
"2","[100, 100]","0.9924497008323669","0.05948668718338013","59.9747200012207","sigmoid"
"5","[100, 100, 100, 100, 100]","0.9861139059066772","0.07720909267663956","77.84252166748047","sigmoid"
"10","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.6598631143569946","1673.480712890625","sigmoid"
"20","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.6204421520233154","1633.7364501953125","sigmoid"
"30","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.623133659362793","1636.449951171875","sigmoid"
"5","[20, 40, 60, 80, 100]","0.9683211445808411","0.12881439924240112","129.87120056152344","sigmoid"
"5","[100, 80, 60, 40, 20]","0.9819238185882568","0.09479710459709167","95.5748291015625","sigmoid"
"10","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","0.17851504683494568","1.6184769868850708","1631.755126953125","sigmoid"
"10","[100, 90, 80, 70, 60, 50, 40, 30, 20, 10]","0.17851504683494568","1.639405608177185","1652.8553466796875","sigmoid"
"20","[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","0.17851504683494568","1.6020278930664062","1615.1710205078125","sigmoid"
"20","[100, 95, 90, 85, 80, 75, 70, 65, 60, 55, 50, 45, 40, 35, 30, 25, 20, 15, 10, 5]","0.17851504683494568","1.5905709266662598","1603.6201171875","sigmoid"
"34","[1, 4, 7, 10, 13, 16, 19, 22, 25, 28, 31, 34, 37, 40, 43, 46, 49, 52, 55, 58, 61, 64, 67, 70, 73, 76, 79, 82, 85, 88, 91, 94, 97, 100]","0.17851504683494568","1.622300386428833","1635.60986328125","sigmoid"
"34","[100, 97, 94, 91, 88, 85, 82, 79, 76, 73, 70, 67, 64, 61, 58, 55, 52, 49, 46, 43, 40, 37, 34, 31, 28, 25, 22, 19, 16, 13, 10, 7, 4, 1]","0.17851504683494568","1.553324818611145","1566.068359375","sigmoid"
"1","[10]","0.9860531687736511","0.1959972083568573","197.60519409179688","softmax"
"5","[10, 10, 10, 10, 10]","0.5387433767318726","0.8787418603897095","885.9511108398438","softmax"
"10","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.17851504683494568","1.5516843795776367","1564.41455078125","softmax"
"20","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.17851504683494568","1.5517927408218384","1564.5238037109375","softmax"
"30","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.17851504683494568","1.5518649816513062","1564.5966796875","softmax"
"1","[20]","0.5414962768554688","0.8290475010871887","835.84912109375","softmax"
"2","[20, 20]","0.9830978512763977","0.1231471449136734","124.15745544433594","softmax"
"5","[20, 20, 20, 20, 20]","0.554977536201477","0.8253308534622192","832.1019897460938","softmax"
"10","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.55091392993927","1563.6376953125","softmax"
"20","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.5533467531204224","1566.090576171875","softmax"
"30","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.550641417503357","1563.363037109375","softmax"
"1","[50]","0.9847779273986816","0.12247634679079056","123.48115539550781","softmax"
"2","[50, 50]","0.986781895160675","0.11442404240369797","115.36278533935547","softmax"
"5","[50, 50, 50, 50, 50]","0.17851504683494568","1.5507392883300781","1563.4617919921875","softmax"
"10","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.5506033897399902","1563.3245849609375","softmax"
"20","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.554476261138916","1567.229248046875","softmax"
"30","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.5510241985321045","1563.7489013671875","softmax"
"1","[100]","0.9041131734848022","0.4376026690006256","441.19281005859375","softmax"
"1","[100]","0.5603417158126831","0.7826377749443054","789.05859375","softmax"
"2","[100, 100]","0.9868021607398987","0.21647678315639496","218.25277709960938","softmax"
"5","[100, 100, 100, 100, 100]","0.17851504683494568","1.5496983528137207","1562.412109375","softmax"
"10","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.5500746965408325","1562.7916259765625","softmax"
"20","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.5498720407485962","1562.58740234375","softmax"
"30","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.5529181957244873","1565.658447265625","softmax"
"5","[20, 40, 60, 80, 100]","0.5589044690132141","0.8686989545822144","875.8258056640625","softmax"
"5","[100, 80, 60, 40, 20]","0.17851504683494568","1.5510998964309692","1563.8251953125","softmax"
"10","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","0.17851504683494568","1.5537264347076416","1566.473388671875","softmax"
"10","[100, 90, 80, 70, 60, 50, 40, 30, 20, 10]","0.17851504683494568","1.551430106163025","1564.158203125","softmax"
"20","[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","0.17851504683494568","1.54976487159729","1562.479248046875","softmax"
"20","[100, 95, 90, 85, 80, 75, 70, 65, 60, 55, 50, 45, 40, 35, 30, 25, 20, 15, 10, 5]","0.17851504683494568","1.5522087812423706","1564.9432373046875","softmax"
"34","[1, 4, 7, 10, 13, 16, 19, 22, 25, 28, 31, 34, 37, 40, 43, 46, 49, 52, 55, 58, 61, 64, 67, 70, 73, 76, 79, 82, 85, 88, 91, 94, 97, 100]","0.17851504683494568","1.5526518821716309","1565.3900146484375","softmax"
"34","[100, 97, 94, 91, 88, 85, 82, 79, 76, 73, 70, 67, 64, 61, 58, 55, 52, 49, 46, 43, 40, 37, 34, 31, 28, 25, 22, 19, 16, 13, 10, 7, 4, 1]","0.17851504683494568","1.555107831954956","1567.8660888671875","softmax"
"1","[10]","0.9476944208145142","0.14023394882678986","141.38442993164062","tanh"
"2","[10, 10]","0.9767215847969055","0.11586231738328934","116.81285858154297","tanh"
"5","[10, 10, 10, 10, 10]","0.9812153577804565","0.09304145723581314","93.80477905273438","tanh"
"10","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.9647989869117737","0.2339347004890442","235.85391235351562","tanh"
"20","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.532974362373352","0.9624775052070618","970.3737182617188","tanh"
"30","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","0.6063115000724792","0.7372806072235107","743.329345703125","tanh"
"1","[20]","0.9897170066833496","0.07574226707220078","76.36366271972656","tanh"
"2","[20, 20]","0.9718027710914612","0.14018498361110687","141.33506774902344","tanh"
"5","[20, 20, 20, 20, 20]","0.9680175185203552","0.18456818163394928","186.0823974609375","tanh"
"10","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.966377854347229","0.14655275642871857","147.7550811767578","tanh"
"20","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.6498914957046509","1663.42724609375","tanh"
"20","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.6371604204177856","1650.591796875","tanh"
"30","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.5868240594863892","1599.842529296875","tanh"
"1","[50]","0.9916197657585144","0.0639318972826004","64.45640563964844","tanh"
"2","[50, 50]","0.9914780855178833","0.05036648362874985","50.779693603515625","tanh"
"5","[50, 50, 50, 50, 50]","0.9838467836380005","0.07327243685722351","73.87357330322266","tanh"
"10","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.9038095474243164","0.9054796695709229","912.9083251953125","tanh"
"20","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.659820795059204","1673.4381103515625","tanh"
"20","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.5877537727355957","1600.77978515625","tanh"
"30","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.6565898656845093","1670.1806640625","tanh"
"1","[100]","0.9917007684707642","0.10140204429626465","102.23395538330078","tanh"
"2","[100, 100]","0.9425933957099915","0.14945881068706512","150.6849822998047","tanh"
"5","[100, 100, 100, 100, 100]","0.975891649723053","0.10046976059675217","101.29402160644531","tanh"
"5","[100, 100, 100, 100, 100]","0.968685507774353","0.1664598286151886","167.82546997070312","tanh"
"10","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.6365244388580322","1649.9505615234375","tanh"
"20","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.6366016864776611","1650.028564453125","tanh"
"30","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.6365387439727783","1649.965087890625","tanh"
"5","[20, 40, 60, 80, 100]","0.9853649735450745","0.08186303824186325","82.53465270996094","tanh"
"5","[100, 80, 60, 40, 20]","0.9794947504997253","0.07798405736684799","78.62384033203125","tanh"
"10","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","0.7286952137947083","0.7892688512802124","795.7440795898438","tanh"
"10","[100, 90, 80, 70, 60, 50, 40, 30, 20, 10]","0.17851504683494568","1.5965579748153687","1609.65625","tanh"
"20","[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","0.17851504683494568","1.6378635168075562","1651.3006591796875","tanh"
"20","[100, 95, 90, 85, 80, 75, 70, 65, 60, 55, 50, 45, 40, 35, 30, 25, 20, 15, 10, 5]","0.17851504683494568","1.626956820487976","1640.3045654296875","tanh"
"34","[1, 4, 7, 10, 13, 16, 19, 22, 25, 28, 31, 34, 37, 40, 43, 46, 49, 52, 55, 58, 61, 64, 67, 70, 73, 76, 79, 82, 85, 88, 91, 94, 97, 100]","0.5565361976623535","1.4374785423278809","1449.271728515625","tanh"
"34","[100, 97, 94, 91, 88, 85, 82, 79, 76, 73, 70, 67, 64, 61, 58, 55, 52, 49, 46, 43, 40, 37, 34, 31, 28, 25, 22, 19, 16, 13, 10, 7, 4, 1]","0.17851504683494568","1.5537645816802979","1566.5118408203125","tanh"
